name,content
A051,"Embed and operate in foreign markets: i) work with locals and help them succeed, ii) adjust offers to meet local needs, iii) target customer segments that are different than those targeted in home country, iv) use internet to market and promote offers to locals, and v) develop relationships with leaders in communities with information and resources that are important to succeeding in foreign market"
A052,Enable locals to succeed because of new company
A053,Enable power users to help improve the company products and services using the internet
A054,Enable users to participate in the rapid development of company products and services
A055,"Enforce policies and procedures for resource combination, production and coordination, information search and gathering, bargaining, and accountability"
A056,Enter a new market by partnering with or purchasing local companies
A057,"Expand brand coverage, eliminate intermediaries, and operate a platform that is simple to use, attracts a very large market, and enables the company to control the quality of the products traded on the platform"
A058,"Expand content about your company, its offers, its achievements, and its affiliations; operate a large data collection and service center; and broaden your product and service portfolio"
A059,"Find, attract, develop, and reward talented people who have access to a broad portfolio of experts from various disciplines, discover connections across disciplines, and combine insights from different disciplines"
A060,"First leverage channels comprised of ecommerce platforms, then sell directly, and then sell using agents"
A061,"Focus your scaling master plan on your decisions about selecting, combining and deploying the resources that will create high value, as well as the decisions on how the value created will be distributed to the individuals and organizations that provided the resources"
A062,Hire talented people who have diverse thinking preferences
A063,Hire talented people with experience performing the roles required to scale as well as developing the company specific capabilities required to scale
A064,"Hire, develop and partner with talented people who have experience scaling companies, many connections and good reputations"
A065,"Improve links, interactions and shared purpose with local organizations in each region the company operates"
A066,Incorporate cybersecurity in value propositions 
A067,Incorporate cybersecurity investment into scaling master plan 
A068,Invest in company cybersecurity that improves cybersecurity of all members of the company value chain
A069,"Lead a team that is innovative, talented, diverse, focused, committed, and fully understands what their responsibilities are and where they fit in with scaling the business"
A070,Learn to make well reasoned decisions or conclusions about how to scale from own experience and others
A071,Leverage online and offline communities
A072,Leverage resources from talented people who have scaling experience and knowledge
A073,Maintain close relationships with the individuals and organizations that advance the development and application of the core technology upon which your most important assets depend
A074,Maintain connections with large and varied investor networks
A075,"Make decisions on how to best deploy a combination of external and internal resources to create high value, not just decisions about the use of the resources the company owns, while complying with cultural, legal, regulatory, and other relevant norms"
A076,Make increasing the spread between the price customers are willing to pay for an offer and the cost of producing and delivering the offer the company top scaling objective
A077,Make the definition and implementation of the scaling master plan the top company priority
A078,"Manage cross border units as operations that are interdependent in terms of information, funding and efficiencies and guided by a coordinated strategy"
A079,Meet or exceed international product and service standards to overcome barriers to trade and position company as a world class quality supplier
A080,Offer a variety of complementary products and services to each market
A081,"Offer investors higher returns, shorter time to payoffs and lower risk relative to other opportunities available to them"
A082,Offer rewards that satisfy customer needs for recognition of their loyalty
A083,Operate in regions with strong cybersecurity policy and legal frameworks
A084,"Operate systems of coordination, evaluation, and knowledge sharing between headquarters and regional units and among the units themselves"
A085,Optimize the value chain to reduce inventory costs to zero
A086,Orchestrate a community comprised of the owners of the resources required to scale
A087,Pay more attention to online sales than to physical brick and mortar store sales relative to competitors
A088,"Perpetuate a company culture of scaling based on a strongly held and widely shared set of beliefs that include high growth ambitions, delivering new benefits to customers, embedding in ecosystems led by fast growth companies, keeping the company and those it works with secure from cyberattacks, attracting investment, exceeding high standards, continuous improvement, experimentation, iteration, learning, and short feedback loops"
A089,Prepare a scaling master plan in the initial stages of the life cycle of your company
A090,"Provide evidence that supports why customers, investors, and resource owners should believe the company will be able to deliver on its value propositions"
A091,Provide returns that leaves the most important owners of resources better off than they would have been had they not contributed to the company
A092,Relentlessly advance the scaling master plan even if employees and processes get in the way
A093,"Scale out, i.e., i) Spread workload across more, smaller organizations; ii) Use less expensive resources to accommodate variable workloads; iii) Host data across several organizations; iv) Increase input-output alignment; v) Learn faster; vi) Take advantage of cheaper, smaller systems; and vi) Improve resilience "
A094,"Scale up, i.e., i) Upgrade capacity of existing scale model that works; ii) Automate and self serve; iii) Make  no substantial change to scale model; iv) Reduce administrative efforts; v) Take advantage of cost effective and efficient technology;  and vi) Outsource what others can do better"
A095,Sell high quality products at lower prices compared to competitors
A096,Sell online using a variety of online and offline promotional channels
A097,Sell products and services that the target market perceives to be better than available alternatives
A098,Shape ethical behavior for all business activities
A099,"Simultaneously develop worldwide learning capabilities, multinational flexibility, and global competitiveness"
A100,"Specify the kinds of innovation that are important for the company  (e.g., technological capabilities that are hard to imitate, business model innovation, rapid routine innovation), how the innovation will create value for customers and how the company will capture part of the value created as revenue"
A101,Standardize processes
A102,Strengthen cybersecurity attributes of products and services compared to competitors
A103,Strengthen your company bargaining position among the members of the value chain upon which the company depends to scale
A104,"The top management team must commit to a scaling master plan (strategy), a hierarchy and a flow of communications external and internal to the company (structure), and a set of behaviors (culture) to achieve scaling objectives"
A105,Upgrade products by incorporating a new technology that satisfies a popular trend
A106,Use an end to end solution that links procurement directly with end customers to eliminate or reduce inventory and the number of intermediaries between the company and customers
A107,"Use physical brick and mortar stores to allow customers to try out products before buying, but use the Internet to make bulk of sales"
A108,Use scientific and technological advances to develop innovative products and services
A109,"Use trusted cross border platforms which enable payments, refunds, logistics, data analytics and offer localization"
A110,"Validate how the decisions about selecting, combining and deploying the resources required to scale complement each other"
A111,"When you ask investors for money, clearly articulate: i) Why you need the money; ii) What amount you need; iii) What you are promising to return and under what conditions; iv) What you are going to do with the money to create returns for investors; and v) your governance model and the names and biographies of the people who sit on your Board of Directors and your Board of Advisors"
A112,Work with individuals and organizations that are well connected and respected in the networks which are important for the success of the company
