name,content
95,Make increasing the spread between the price customers are willing to pay for an offer and the cost of producing and delivering the offer the company's top scaling objective
96,"Eliminate communication and coordination barriers when working with foreign partners that are geographically separate, institutionally distant, and operate in different time zones"
97,"Expand content about your company, its offers, its achievements, and its affiliations; operate a large data collection and service center; and broaden your product and service portfolio"
98,"Find, attract, develop, and reward talented people who have access to a broad portfolio of experts from various disciplines, discover connections across disciplines, and combine insights from different disciplines"
99,"Continuously improve the user interfaces and applications that directly influence the entirety of the customer experience including personalized content, quality messaging, and the delivery and returns process"
100,"Be responsible and accountable for creating and making visible the quantifiable benefits the company delivers its stakeholders, including customers, partners, investors, members of the company's value chain, society, and others"
101,"The top management team must commit to a scaling master plan (strategy), a hierarchy and a flow of communications external and internal to the company (structure), and a set of behaviors (culture) to achieve scaling objectives"
102,"Make decisions on how to best deploy a combination of external and internal resources to create value, not just decisions about the use of the resources the company owns, while complying with cultural, legal, regulatory, and other relevant norms"
103,"Specify the kinds of innovation that are important for the company to  (e.g., technological capabilities that are hard to imitate, business model innovation, rapid routine innovation), how the innovation will create value for customers and how the company will capture part of the value created as revenue"
104,"Scale out, i.e., i) Spread workload across more, smaller organizations; ii) Use less expensive resources to accommodate variable workloads; iii) Host data across several organizations; iv) Increase input-output alignment; v) Learn faster; vi) Take advantage of cheaper, smaller systems; vi) Improve resiliency â€“ no failure will take down all operations"
